applist,cri,cric,cricbuzz,cricguru,crick,cricke,cricket,GETX,goog,grt,jntuk,joke,jokes,lovestory,message,monitor,news,omegle,score,scr,smsbox,smsfun,t20,TA2012011107,triv,VTU,vturesult,wikipedia,word
0,0,0,0,0,0,0,5879,0,0,1,0,0,65,2,0,0,7,0,1,0,0,0,0,0,0,95,37,0,0
16,57,7,1526,27,2,1,1373,0,4,2,3,19,1,7,4,0,11,0,14,0,100,9,31,5227,0,0,1,0,1
0,16,1,49,21,0,1,420,0,0,0,0,2,56,10,53,0,2,1,109,0,1662,0,220,0,0,536,706,0,0
0,1,0,3022,0,0,1,1204,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
8,1115,18,4,0,1,0,900,0,0,0,4,72,1468,23,32,0,330,2,16,0,92,36,101,0,0,2,17,2,13
0,12,0,48,2,0,0,1827,2,23,0,3,77,1566,125,58,0,58,2,46,0,2103,111,1,6,0,4,91,11,30
8,1218,28,5982,0,0,2,4126,0,0,1,0,5,39,2,28,0,5,1,51,0,856,32,2,0,0,0,1,17,2
22,230,95,352,57,0,12,1252,0,16,8,3,18,177,3,25,0,30,823,75,0,316,8,39,119,6,1,9,28,14
0,3,2,3533,0,0,2,3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,305,1556,0,0,0,3609,0,6,0,0,0,13,0,11,0,34,0,1,0,0,0,0,0,0,0,2,231,3
5,56,264,1276,0,0,0,438,40,61,0,3,2,80,19,27,0,57,221,18,2,23,15,0,0,9,144,86,33,36
